,time,application,angry,disgust,fear,happy,sad,surprise
0,2022_07_24_11_18_10,Terminal,0.09,0.04,0.12,0.26,0.49,0.0
1,2022_07_24_11_18_11,Terminal,0.06,0.0,0.07,0.75,0.1,0.01
2,2022_07_24_11_18_11,Terminal,0.03,0.0,0.3,0.04,0.62,0.0
3,2022_07_24_11_18_11,Terminal,0.32,0.01,0.21,0.06,0.37,0.04
4,2022_07_24_11_18_12,Terminal,0.18,0.02,0.16,0.03,0.59,0.01
5,2022_07_24_11_18_12,Terminal,0.13,0.04,0.26,0.02,0.53,0.01
6,2022_07_24_11_18_13,Terminal,0.27,0.0,0.21,0.12,0.39,0.01
7,2022_07_24_11_18_13,Terminal,0.39,0.0,0.24,0.19,0.15,0.03
8,2022_07_24_11_18_14,Terminal,0.1,0.0,0.38,0.1,0.41,0.01
9,2022_07_24_11_18_14,Terminal,0.51,0.0,0.05,0.13,0.28,0.02
10,2022_07_24_11_18_15,Terminal,0.06,0.0,0.19,0.01,0.74,0.0
11,2022_07_24_11_18_17,Terminal,0.04,0.0,0.05,0.82,0.09,0.0
12,2022_07_24_11_18_18,Terminal,0.34,0.0,0.06,0.11,0.49,0.0
13,2022_07_24_11_18_18,Terminal,0.27,0.01,0.2,0.21,0.28,0.02
14,2022_07_24_11_18_19,Terminal,0.17,0.01,0.31,0.04,0.46,0.01
15,2022_07_24_11_18_24,Terminal,0.51,0.01,0.09,0.02,0.35,0.02
16,2022_07_24_11_18_24,Terminal,0.19,0.0,0.08,0.32,0.39,0.02
17,2022_07_24_11_18_24,Terminal,0.39,0.0,0.13,0.25,0.09,0.14
18,2022_07_24_11_18_25,Terminal,0.24,0.0,0.09,0.27,0.39,0.0
19,2022_07_24_11_18_25,Terminal,0.26,0.0,0.06,0.17,0.51,0.0
20,2022_07_24_11_18_26,Terminal,0.42,0.02,0.17,0.04,0.34,0.0
21,2022_07_24_11_18_26,Terminal,0.02,0.0,0.02,0.91,0.04,0.0
22,2022_07_24_11_18_27,Terminal,0.41,0.0,0.08,0.27,0.23,0.01
23,2022_07_24_11_18_27,Terminal,0.15,0.0,0.16,0.37,0.32,0.0
24,2022_07_24_11_18_28,Terminal,0.23,0.0,0.14,0.22,0.39,0.03
25,2022_07_24_11_18_28,Terminal,0.4,0.0,0.11,0.04,0.44,0.01
26,2022_07_24_11_18_29,Terminal,0.26,0.0,0.05,0.26,0.42,0.0
27,2022_07_24_11_18_29,Terminal,0.09,0.0,0.04,0.77,0.11,0.0
28,2022_07_24_11_18_30,Terminal,0.2,0.0,0.04,0.56,0.16,0.03
29,2022_07_24_11_18_30,Terminal,0.06,0.0,0.04,0.83,0.06,0.0
30,2022_07_24_11_18_31,Terminal,0.17,0.0,0.06,0.3,0.44,0.03
31,2022_07_24_11_18_31,Terminal,0.09,0.0,0.03,0.56,0.31,0.01
32,2022_07_24_11_18_34,Terminal,0.23,0.0,0.06,0.47,0.11,0.12
33,2022_07_24_11_18_34,Terminal,0.08,0.0,0.07,0.6,0.25,0.0
34,2022_07_24_11_18_35,Terminal,0.02,0.0,0.02,0.91,0.05,0.0
35,2022_07_24_11_18_35,Terminal,0.02,0.0,0.03,0.78,0.15,0.01
36,2022_07_24_11_18_36,Terminal,0.01,0.0,0.0,0.97,0.02,0.0
37,2022_07_24_11_18_40,Terminal,0.1,0.0,0.39,0.02,0.47,0.02
