,time,application,angry,disgust,fear,happy,sad,surprise
0,2022_11_19_15_48_42,Terminal,0.18,0.0,0.05,0.0,0.78,0.0
1,2022_11_19_15_56_14,Code,0.19,0.0,0.08,0.22,0.49,0.01
2,2022_11_19_15_56_23,Code,0.02,0.0,0.85,0.0,0.09,0.04
3,2022_11_19_15_56_23,Code,0.02,0.01,0.13,0.0,0.84,0.0
4,2022_11_19_15_56_24,Code,0.08,0.04,0.09,0.0,0.8,0.0
5,2022_11_19_15_56_24,Code,0.19,0.03,0.12,0.0,0.64,0.01
6,2022_11_19_15_56_26,Code,0.14,0.0,0.16,0.05,0.61,0.04
7,2022_11_19_15_56_30,Code,0.24,0.0,0.2,0.08,0.48,0.0
8,2022_11_19_15_56_36,Electron,0.27,0.0,0.11,0.23,0.37,0.01
9,2022_11_19_15_56_36,Electron,0.27,0.0,0.13,0.13,0.45,0.02
10,2022_11_19_15_56_37,Electron,0.27,0.0,0.15,0.19,0.38,0.01
11,2022_11_19_15_56_37,Electron,0.32,0.0,0.12,0.21,0.34,0.0
12,2022_11_19_15_56_38,Electron,0.31,0.0,0.14,0.16,0.38,0.01
13,2022_11_19_15_56_39,Electron,0.33,0.0,0.19,0.08,0.39,0.0
14,2022_11_19_15_56_40,Electron,0.12,0.0,0.16,0.09,0.27,0.36
15,2022_11_19_15_56_43,Electron,0.03,0.0,0.01,0.95,0.01,0.0
16,2022_11_19_15_56_43,Electron,0.0,0.0,0.0,0.99,0.0,0.01
17,2022_11_19_15_56_43,Electron,0.0,0.0,0.0,0.97,0.02,0.01
18,2022_11_19_15_56_44,Electron,0.0,0.0,0.0,1.0,0.0,0.0
19,2022_11_19_15_56_44,Electron,0.0,0.0,0.0,0.99,0.0,0.01
20,2022_11_19_15_56_44,Electron,0.0,0.0,0.0,1.0,0.0,0.0
21,2022_11_19_15_56_45,Electron,0.0,0.0,0.0,1.0,0.0,0.0
22,2022_11_19_15_56_45,Electron,0.0,0.0,0.25,0.0,0.75,0.0
